report_name,report_timestamp,stack,total,pass,fail,missing,pass_pct,fail_pct,missing_pct
scan_general_report_20260409_153617.csv,2026-04-09 15:36:17,d2d,18,10,4,4,55.56,22.22,22.22
scan_general_report_20260409_153617.csv,2026-04-09 15:36:17,mc,45,29,7,9,64.44,15.56,20.00
scan_general_report_20260409_153617.csv,2026-04-09 15:36:17,uio,153,79,19,55,51.63,12.42,35.95
scan_general_report_20260413_084510.csv,2026-04-13 08:45:10,d2d,18,10,4,4,55.56,22.22,22.22
scan_general_report_20260413_084510.csv,2026-04-13 08:45:10,mc,45,29,7,9,64.44,15.56,20.00
scan_general_report_20260413_084510.csv,2026-04-13 08:45:10,uio,153,103,19,31,67.32,12.42,20.26
scan_general_report_20260414_100816.csv,2026-04-14 10:08:16,d2d,18,10,4,4,55.56,22.22,22.22
scan_general_report_20260414_100816.csv,2026-04-14 10:08:16,mc,45,29,7,9,64.44,15.56,20.00
scan_general_report_20260414_100816.csv,2026-04-14 10:08:16,uio,153,103,19,31,67.32,12.42,20.26
scan_general_report_20260424_112509.csv,2026-04-24 11:25:09,d2d,18,16,2,0,88.89,11.11,0.00
scan_general_report_20260424_112509.csv,2026-04-24 11:25:09,mc,45,27,1,17,60.00,2.22,37.78
scan_general_report_20260424_112509.csv,2026-04-24 11:25:09,uio,172,140,6,26,81.40,3.49,15.12
scan_general_report_20260427_113555.csv,2026-04-27 11:35:55,d2d,18,16,2,0,88.89,11.11,0.00
scan_general_report_20260427_113555.csv,2026-04-27 11:35:55,mc,45,27,1,17,60.00,2.22,37.78
scan_general_report_20260427_113555.csv,2026-04-27 11:35:55,uio,153,126,1,26,82.35,0.65,16.99
scan_general_report_20260504_091605.csv,2026-05-04 09:16:05,d2d,18,16,2,0,88.89,11.11,0.00
scan_general_report_20260504_091605.csv,2026-05-04 09:16:05,mc,45,27,1,17,60.00,2.22,37.78
scan_general_report_20260504_091605.csv,2026-05-04 09:16:05,uio,153,129,1,23,84.31,0.65,15.03
scan_general_report_20260507_101951.csv,2026-05-07 10:19:51,d2d,18,16,2,0,88.89,11.11,0.00
scan_general_report_20260507_101951.csv,2026-05-07 10:19:51,mc,47,29,2,16,61.70,4.26,34.04
scan_general_report_20260507_101951.csv,2026-05-07 10:19:51,uio,153,129,1,23,84.31,0.65,15.03
scan_general_report_20260511_103848.csv,2026-05-11 10:38:48,d2d,18,16,2,0,88.89,11.11,0.00
scan_general_report_20260511_103848.csv,2026-05-11 10:38:48,mc,47,29,2,16,61.70,4.26,34.04
scan_general_report_20260511_103848.csv,2026-05-11 10:38:48,uio,153,129,1,23,84.31,0.65,15.03
scan_general_report_20260515_141845.csv,2026-05-15 14:18:45,d2d,14,14,0,0,100.00,0.00,0.00
scan_general_report_20260515_141845.csv,2026-05-15 14:18:45,mc,35,25,0,10,71.43,0.00,28.57
scan_general_report_20260515_141845.csv,2026-05-15 14:18:45,uio,119,105,0,14,88.24,0.00,11.76
scan_general_report_20260518_102442.csv,2026-05-18 10:24:42,d2d,14,14,0,0,100.00,0.00,0.00
scan_general_report_20260518_102442.csv,2026-05-18 10:24:42,mc,35,25,0,10,71.43,0.00,28.57
scan_general_report_20260518_102442.csv,2026-05-18 10:24:42,uio,119,105,0,14,88.24,0.00,11.76
scan_general_report_20260522_154753.csv,2026-05-22 15:47:53,d2d,36,34,0,2,94.44,0.00,5.56
scan_general_report_20260522_154753.csv,2026-05-22 15:47:53,mc,45,32,0,13,71.11,0.00,28.89
scan_general_report_20260522_154753.csv,2026-05-22 15:47:53,uio,162,141,0,21,87.04,0.00,12.96
scan_general_report_20260525_161358.csv,2026-05-25 16:13:58,d2d,36,34,0,2,94.44,0.00,5.56
scan_general_report_20260525_161358.csv,2026-05-25 16:13:58,mc,45,32,0,13,71.11,0.00,28.89
scan_general_report_20260525_161358.csv,2026-05-25 16:13:58,uio,162,141,0,21,87.04,0.00,12.96
scan_general_report_20260528_080354.csv,2026-05-28 08:03:54,d2d,36,34,0,2,94.44,0.00,5.56
scan_general_report_20260528_080354.csv,2026-05-28 08:03:54,mc,45,32,0,13,71.11,0.00,28.89
scan_general_report_20260528_080354.csv,2026-05-28 08:03:54,uio,162,141,0,21,87.04,0.00,12.96
scan_general_report_20260528_161728.csv,2026-05-28 16:17:28,d2d,36,34,0,2,94.44,0.00,5.56
scan_general_report_20260528_161728.csv,2026-05-28 16:17:28,mc,42,36,2,4,85.71,4.76,9.52
scan_general_report_20260528_161728.csv,2026-05-28 16:17:28,uio,162,141,0,21,87.04,0.00,12.96
scan_general_report_20260601_111800.csv,2026-06-01 11:18:00,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260601_111800.csv,2026-06-01 11:18:00,mc,42,36,2,4,85.71,4.76,9.52
scan_general_report_20260601_111800.csv,2026-06-01 11:18:00,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260601_133115.csv,2026-06-01 13:31:15,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260601_133115.csv,2026-06-01 13:31:15,mc,42,36,2,4,85.71,4.76,9.52
scan_general_report_20260601_133115.csv,2026-06-01 13:31:15,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260603_081802.csv,2026-06-03 08:18:02,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260603_081802.csv,2026-06-03 08:18:02,mc,42,36,2,4,85.71,4.76,9.52
scan_general_report_20260603_081802.csv,2026-06-03 08:18:02,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260608_101421.csv,2026-06-08 10:14:21,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260608_101421.csv,2026-06-08 10:14:21,mc,42,36,2,4,85.71,4.76,9.52
scan_general_report_20260608_101421.csv,2026-06-08 10:14:21,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260608_101453.csv,2026-06-08 10:14:53,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260608_101453.csv,2026-06-08 10:14:53,mc,42,36,2,4,85.71,4.76,9.52
scan_general_report_20260608_101453.csv,2026-06-08 10:14:53,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260611_091101.csv,2026-06-11 09:11:01,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260611_091101.csv,2026-06-11 09:11:01,mc,42,36,2,4,85.71,4.76,9.52
scan_general_report_20260611_091101.csv,2026-06-11 09:11:01,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260615_104049.csv,2026-06-15 10:40:49,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260615_104049.csv,2026-06-15 10:40:49,mc,42,36,2,4,85.71,4.76,9.52
scan_general_report_20260615_104049.csv,2026-06-15 10:40:49,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260619_112417.csv,2026-06-19 11:24:17,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260619_112417.csv,2026-06-19 11:24:17,mc,42,37,2,3,88.10,4.76,7.14
scan_general_report_20260619_112417.csv,2026-06-19 11:24:17,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260622_083734.csv,2026-06-22 08:37:34,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260622_083734.csv,2026-06-22 08:37:34,mc,42,37,2,3,88.10,4.76,7.14
scan_general_report_20260622_083734.csv,2026-06-22 08:37:34,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260629_151721.csv,2026-06-29 15:17:21,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260629_151721.csv,2026-06-29 15:17:21,mc,45,37,2,6,82.22,4.44,13.33
scan_general_report_20260629_151721.csv,2026-06-29 15:17:21,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260706_102703.csv,2026-07-06 10:27:03,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260706_102703.csv,2026-07-06 10:27:03,mc,57,45,3,9,78.95,5.26,15.79
scan_general_report_20260706_102703.csv,2026-07-06 10:27:03,uio,162,142,0,20,87.65,0.00,12.35
scan_general_report_20260713_084648.csv,2026-07-13 08:46:48,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260713_084648.csv,2026-07-13 08:46:48,mc,57,45,3,9,78.95,5.26,15.79
scan_general_report_20260713_084648.csv,2026-07-13 08:46:48,uio,168,148,0,20,88.10,0.00,11.90
scan_general_report_20260720_085039.csv,2026-07-20 08:50:39,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260720_085039.csv,2026-07-20 08:50:39,mc,57,51,6,0,89.47,10.53,0.00
scan_general_report_20260720_085039.csv,2026-07-20 08:50:39,uio,168,151,6,11,89.88,3.57,6.55
scan_general_report_20260727_162639.csv,2026-07-27 16:26:39,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260727_162639.csv,2026-07-27 16:26:39,mc,57,51,6,0,89.47,10.53,0.00
scan_general_report_20260727_162639.csv,2026-07-27 16:26:39,uio,168,159,0,9,94.64,0.00,5.36
scan_general_report_20260727_162639.csv,2026-07-27 16:26:39,uioe,63,0,0,63,0.00,0.00,100.00
scan_general_report_20260804_103400.csv,2026-08-04 10:34:00,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260804_103400.csv,2026-08-04 10:34:00,mc,57,53,4,0,92.98,7.02,0.00
scan_general_report_20260804_103400.csv,2026-08-04 10:34:00,uio,168,159,0,9,94.64,0.00,5.36
scan_general_report_20260804_103400.csv,2026-08-04 10:34:00,uioe,63,0,0,63,0.00,0.00,100.00
scan_general_report_20260804_105900.csv,2026-08-04 10:59:00,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260804_105900.csv,2026-08-04 10:59:00,mc,57,53,4,0,92.98,7.02,0.00
scan_general_report_20260804_105900.csv,2026-08-04 10:59:00,uio,168,159,0,9,94.64,0.00,5.36
scan_general_report_20260804_105900.csv,2026-08-04 10:59:00,uioe,63,0,0,63,0.00,0.00,100.00
scan_general_report_20260806_122719.csv,2026-08-06 12:27:19,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260806_122719.csv,2026-08-06 12:27:19,mc,57,53,4,0,92.98,7.02,0.00
scan_general_report_20260806_122719.csv,2026-08-06 12:27:19,uio,168,159,0,9,94.64,0.00,5.36
scan_general_report_20260806_122719.csv,2026-08-06 12:27:19,uioe,63,0,0,63,0.00,0.00,100.00
scan_general_report_20260807_141653.csv,2026-08-07 14:16:53,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260807_141653.csv,2026-08-07 14:16:53,mc,57,53,4,0,92.98,7.02,0.00
scan_general_report_20260807_141653.csv,2026-08-07 14:16:53,uio,168,159,0,9,94.64,0.00,5.36
scan_general_report_20260807_141653.csv,2026-08-07 14:16:53,uioe,63,0,0,63,0.00,0.00,100.00
scan_general_report_20260807_144818.csv,2026-08-07 14:48:18,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260807_144818.csv,2026-08-07 14:48:18,mc,57,53,4,0,92.98,7.02,0.00
scan_general_report_20260807_144818.csv,2026-08-07 14:48:18,uio,168,159,0,9,94.64,0.00,5.36
scan_general_report_20260807_144818.csv,2026-08-07 14:48:18,uioe,63,0,0,63,0.00,0.00,100.00
scan_general_report_20260807_150729.csv,2026-08-07 15:07:29,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260807_150729.csv,2026-08-07 15:07:29,mc,57,53,4,0,92.98,7.02,0.00
scan_general_report_20260807_150729.csv,2026-08-07 15:07:29,uio,168,159,0,9,94.64,0.00,5.36
scan_general_report_20260807_150729.csv,2026-08-07 15:07:29,uioe,63,0,0,63,0.00,0.00,100.00
scan_general_report_20260810_140554.csv,2026-08-10 14:05:54,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260810_140554.csv,2026-08-10 14:05:54,mc,57,53,4,0,92.98,7.02,0.00
scan_general_report_20260810_140554.csv,2026-08-10 14:05:54,soc,1350,26,0,1324,1.93,0.00,98.07
scan_general_report_20260810_140554.csv,2026-08-10 14:05:54,uio,168,159,0,9,94.64,0.00,5.36
scan_general_report_20260810_140554.csv,2026-08-10 14:05:54,uioe,63,0,0,63,0.00,0.00,100.00
scan_general_report_20260811_095408.csv,2026-08-11 09:54:08,d2d,36,36,0,0,100.00,0.00,0.00
scan_general_report_20260811_095408.csv,2026-08-11 09:54:08,mc,57,53,4,0,92.98,7.02,0.00
scan_general_report_20260811_095408.csv,2026-08-11 09:54:08,soc,1350,26,0,1324,1.93,0.00,98.07
