report_name,report_timestamp,stack,total,pass,fail,missing,pass_pct,fail_pct,missing_pct
tap_general_report_20260629_151756.csv,2026-06-29 15:17:56,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260629_151756.csv,2026-06-29 15:17:56,mc,11,6,4,1,54.55,36.36,9.09
tap_general_report_20260629_151756.csv,2026-06-29 15:17:56,uio,11,10,0,1,90.91,0.00,9.09
tap_general_report_20260706_102747.csv,2026-07-06 10:27:47,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260706_102747.csv,2026-07-06 10:27:47,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260706_102747.csv,2026-07-06 10:27:47,uio,11,10,0,1,90.91,0.00,9.09
tap_general_report_20260713_084727.csv,2026-07-13 08:47:27,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260713_084727.csv,2026-07-13 08:47:27,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260713_084727.csv,2026-07-13 08:47:27,uio,11,10,0,1,90.91,0.00,9.09
tap_general_report_20260720_085359.csv,2026-07-20 08:53:59,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260720_085359.csv,2026-07-20 08:53:59,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260720_085359.csv,2026-07-20 08:53:59,uio,11,10,0,1,90.91,0.00,9.09
tap_general_report_20260727_085552.csv,2026-07-27 08:55:52,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260727_085552.csv,2026-07-27 08:55:52,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260727_085552.csv,2026-07-27 08:55:52,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260727_101704.csv,2026-07-27 10:17:04,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260727_101704.csv,2026-07-27 10:17:04,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260727_101704.csv,2026-07-27 10:17:04,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260727_110357.csv,2026-07-27 11:03:57,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260727_110357.csv,2026-07-27 11:03:57,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260727_110357.csv,2026-07-27 11:03:57,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260727_111416.csv,2026-07-27 11:14:16,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260727_111416.csv,2026-07-27 11:14:16,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260727_111416.csv,2026-07-27 11:14:16,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260727_112341.csv,2026-07-27 11:23:41,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260727_112341.csv,2026-07-27 11:23:41,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260727_112341.csv,2026-07-27 11:23:41,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260727_112341.csv,2026-07-27 11:23:41,uioe,11,0,0,11,0.00,0.00,100.00
tap_general_report_20260727_162806.csv,2026-07-27 16:28:06,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260727_162806.csv,2026-07-27 16:28:06,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260727_162806.csv,2026-07-27 16:28:06,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260727_162806.csv,2026-07-27 16:28:06,uioe,11,0,0,11,0.00,0.00,100.00
tap_general_report_20260804_103437.csv,2026-08-04 10:34:37,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260804_103437.csv,2026-08-04 10:34:37,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260804_103437.csv,2026-08-04 10:34:37,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260804_103437.csv,2026-08-04 10:34:37,uioe,11,0,0,11,0.00,0.00,100.00
tap_general_report_20260804_110217.csv,2026-08-04 11:02:17,d2d,11,1,6,4,9.09,54.55,36.36
tap_general_report_20260804_110217.csv,2026-08-04 11:02:17,mc,11,7,4,0,63.64,36.36,0.00
tap_general_report_20260804_110217.csv,2026-08-04 11:02:17,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260804_110217.csv,2026-08-04 11:02:17,uioe,11,0,0,11,0.00,0.00,100.00
tap_general_report_20260806_123012.csv,2026-08-06 12:30:12,mc,12,9,3,0,75.00,25.00,0.00
tap_general_report_20260806_123012.csv,2026-08-06 12:30:12,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260807_141735.csv,2026-08-07 14:17:35,mc,15,9,2,4,60.00,13.33,26.67
tap_general_report_20260807_141735.csv,2026-08-07 14:17:35,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260807_144846.csv,2026-08-07 14:48:46,mc,15,9,2,4,60.00,13.33,26.67
tap_general_report_20260807_144846.csv,2026-08-07 14:48:46,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260807_150832.csv,2026-08-07 15:08:32,mc,15,9,2,4,60.00,13.33,26.67
tap_general_report_20260807_150832.csv,2026-08-07 15:08:32,uio,54,28,26,0,51.85,48.15,0.00
tap_general_report_20260807_152427.csv,2026-08-07 15:24:27,mc,14,9,2,3,64.29,14.29,21.43
tap_general_report_20260807_152427.csv,2026-08-07 15:24:27,uio,60,28,26,6,46.67,43.33,10.00
tap_general_report_20260807_152427.csv,2026-08-07 15:24:27,uioe,21,0,0,21,0.00,0.00,100.00
tap_general_report_20260810_095529.csv,2026-08-10 09:55:29,mc,14,9,2,3,64.29,14.29,21.43
tap_general_report_20260810_095529.csv,2026-08-10 09:55:29,uio,60,28,26,6,46.67,43.33,10.00
tap_general_report_20260810_095529.csv,2026-08-10 09:55:29,uioe,21,0,0,21,0.00,0.00,100.00
tap_general_report_20260810_101628.csv,2026-08-10 10:16:28,mc,14,9,2,3,64.29,14.29,21.43
tap_general_report_20260810_101628.csv,2026-08-10 10:16:28,uio,60,28,26,6,46.67,43.33,10.00
tap_general_report_20260810_101628.csv,2026-08-10 10:16:28,uioe,21,0,0,21,0.00,0.00,100.00
tap_general_report_20260810_103819.csv,2026-08-10 10:38:19,mc,14,9,2,3,64.29,14.29,21.43
tap_general_report_20260810_103819.csv,2026-08-10 10:38:19,uio,60,28,26,6,46.67,43.33,10.00
tap_general_report_20260810_103819.csv,2026-08-10 10:38:19,uioe,21,0,0,21,0.00,0.00,100.00
tap_general_report_20260810_104628.csv,2026-08-10 10:46:28,mc,14,9,2,3,64.29,14.29,21.43
tap_general_report_20260810_104628.csv,2026-08-10 10:46:28,uio,60,28,26,6,46.67,43.33,10.00
tap_general_report_20260810_104628.csv,2026-08-10 10:46:28,uioe,21,0,0,21,0.00,0.00,100.00
tap_general_report_20260810_133635.csv,2026-08-10 13:36:35,mc,14,9,2,3,64.29,14.29,21.43
tap_general_report_20260810_133635.csv,2026-08-10 13:36:35,uio,60,28,26,6,46.67,43.33,10.00
tap_general_report_20260810_133635.csv,2026-08-10 13:36:35,uioe,21,0,0,21,0.00,0.00,100.00
tap_general_report_20260810_140829.csv,2026-08-10 14:08:29,mc,14,9,2,3,64.29,14.29,21.43
tap_general_report_20260810_140829.csv,2026-08-10 14:08:29,uio,60,28,26,6,46.67,43.33,10.00
tap_general_report_20260810_140829.csv,2026-08-10 14:08:29,uioe,21,0,0,21,0.00,0.00,100.00
tap_general_report_20260818_102728.csv,2026-08-18 10:27:28,mc,15,6,8,1,40.00,53.33,6.67
tap_general_report_20260818_102728.csv,2026-08-18 10:27:28,uio,60,42,12,6,70.00,20.00,10.00
tap_general_report_20260818_102728.csv,2026-08-18 10:27:28,uioe,21,0,0,21,0.00,0.00,100.00
tap_general_report_20260819_134751.csv,2026-08-19 13:47:51,mc,15,6,7,2,40.00,46.67,13.33
tap_general_report_20260819_134751.csv,2026-08-19 13:47:51,uio,60,42,12,6,70.00,20.00,10.00
