test_name,test_status,test_result
pard2d4misc_ssn_continuity,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda0_atspeed_edt_edt_low_internal_loopback,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_atspeed_edt_edt_low_internal_loopback,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda0_stuckat_edt_edt_low_internal_loopback,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda0_atspeed_edt_edt_low_internal_pard2d4uladda0_ub_pard2d4uladda0_rtl2_tessent_ssn_scan_host_1_inst_on_chip_compare,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda0_stuckat_edt_edt_low_internal_pard2d4uladda0_ub_pard2d4uladda0_rtl2_tessent_ssn_scan_host_1_inst_on_chip_compare,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_stuckat_edt_edt_low_internal_loopback,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_atspeed_edt_edt_low_internal_pard2d4uladda1_ub_pard2d4uladda1_rtl2_tessent_ssn_scan_host_1_inst_on_chip_compare,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_stuckat_edt_edt_low_internal_pard2d4uladda1_ub_pard2d4uladda1_rtl2_tessent_ssn_scan_host_1_inst_on_chip_compare,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_icl_verify_dft,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_icl_verify_dft,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_atspeed_edt_edt_low_internal_serial_chain,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_atspeed_edt_edt_low_internal_serial_scan,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_ssn_continuity,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_atspeed_edt_edt_low_internal_loopback,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_stuckat_edt_edt_low_internal_loopback,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_atspeed_edt_edt_low_internal_pard2d4chnl_ub_pard2d4chnl_rtl2_tessent_ssn_scan_host_1_inst_on_chip_compare,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_stuckat_edt_edt_low_internal_pard2d4chnl_ub_pard2d4chnl_rtl2_tessent_ssn_scan_host_1_inst_on_chip_compare,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_stuckat_edt_edt_low_internal_loopback,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_atspeed_edt_edt_low_internal_pard2d4misc_ub_pard2d4misc_rtl2_tessent_ssn_scan_host_1_inst_on_chip_compare,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_stuckat_edt_edt_low_internal_pard2d4misc_ub_pard2d4misc_rtl2_tessent_ssn_scan_host_1_inst_on_chip_compare,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_stuckat_edt_edt_low_internal_serial_chain,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_stuckat_edt_edt_low_internal_serial_scan,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_atspeed_edt_edt_low_internal_serial_scan,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_atspeed_edt_edt_low_internal_serial_chain,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_stuckat_edt_edt_low_internal_serial_scan,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_stuckat_edt_edt_low_internal_serial_chain,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda0_atspeed_edt_edt_low_internal_serial_chain,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_stuckat_edt_edt_low_internal_serial_scan,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_atspeed_edt_edt_low_internal_serial_scan,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_atspeed_edt_edt_low_internal_serial_chain,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_stuckat_edt_edt_low_internal_serial_chain,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda0_atspeed_edt_edt_low_internal_serial_scan,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda0_stuckat_edt_edt_low_internal_serial_chain,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda0_stuckat_edt_edt_low_internal_serial_scan,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_atspeed_edt_edt_low_internal_loopback,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4misc_ijtag_basic_tap_tests_reset,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4uladda1_ijtag_basic_tap_tests_rw_access,FAIL,Command './buildsimv.sh' returned exit status 2 !
pard2d4chnl_ijtag_basic_tap_tests_reset,FAIL,Command './buildsimv.sh' returned exit status 2 !
