test_name,test_status,test_result
parmcmse_parmcmse_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmcmisc_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmcmse_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmemsram_stuckat_edt_bypass_low_internal_serial_chain,PASS,PASS
parmcmisc_atspeed_edt_bypass_low_internal_serial_scan,PASS,PASS
parmemsram_atspeed_edt_edt_low_internal_serial_scan,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmemsram_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pardfi_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
pardfi_pardfi_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmcmse_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmcmse_atspeed_edt_bypass_low_internal_serial_scan,PASS,PASS
parmemsram_parmemsram_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmemphy_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,FAIL,"Fail, RequiredText not found"
parmemsram_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmcmse_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
