test_name,test_status,test_result
parmcmse_ijtag_basic_tap_tests_user_defined,FAIL,"Fail, RequiredText not found"
parmcmisc_ijtag_basic_tap_tests_user_defined,PASS,PASS
pardfi_ijtag_basic_tap_tests_user_defined,PASS,PASS
memstack_ijtag_basic_tap_tests_continuity,PASS,PASS
parmcmisc_stuckat_edt_bypass_low_internal_loopback,PASS,PASS
memstack_ijtag_basic_tap_tests_user_defined,FAIL,"Fail, RequiredText not found"
parmccore_ssn_continuity,PASS,PASS
parmcmisc_stuckat_edt_edt_low_internal_loopback,PASS,PASS
pardfi_atspeed_edt_edt_low_internal_loopback,PASS,PASS
parmemsram_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmcmisc_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parmcmisc_ijtag_basic_tap_tests_reset,PASS,PASS
parmemsram_atspeed_edt_edt_low_internal_loopback,PASS,PASS
parmemphy_ijtag_basic_tap_tests_continuity,FAIL,"Fail, RequiredText not found"
parmccore_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
memstack_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
pardfi_stuckat_edt_edt_low_internal_serial_scan,FAIL,Error between simulated and expected patterns
parmcmse_stuckat_edt_edt_low_internal_loopback,PASS,PASS
memstack_ijtag_basic_tap_tests_reset,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_loopback,PASS,PASS
parmcmse_atspeed_edt_edt_low_internal_loopback,PASS,PASS
parmcmisc_ijtag_basic_tap_tests_continuity,PASS,PASS
parmccore_parmccore_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmcmse_ijtag_basic_tap_tests_continuity,PASS,PASS
parmcmisc_atspeed_edt_edt_low_internal_loopback,PASS,PASS
parmcmse_stuckat_edt_edt_low_internal_serial_scan,PASS,PASS
parmccore_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parmemsram_parmemsram_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
parmemsram_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmcmse_stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,PASS
parmcmse_stuckat_edt_edt_low_internal_serial_chain,PASS,PASS
mc_cluster_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parmemsram_ijtag_basic_tap_tests_reset,PASS,PASS
parmcmisc_stuckat_edt_bypass_low_internal_serial_scan,PASS,PASS
parmcmse_parmcmse_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,PASS
