test_name,test_status,test_result
parswinf2_ijtag_basic_tap_tests_reset,PASS,PASS
paruboxspk_ijtag_basic_tap_tests_rw_access,PASS,PASS
parswinf1_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parswinf2_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
paruboxspk_ijtag_basic_tap_tests_reset,PASS,PASS
parsocrasip_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parswinf0_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parswinf0_ijtag_basic_tap_tests_reset,PASS,PASS
parscfubruiodatatype2_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parswinf1_ijtag_basic_tap_tests_reset,PASS,PASS
parsocrasip_ijtag_basic_tap_tests_reset,PASS,PASS
parseinf1_ijtag_basic_tap_tests_reset,PASS,PASS
parscfubruiodatatype2_ijtag_basic_tap_tests_reset,PASS,PASS
parseinf1_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parscfubruiodatatype1_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfubruiodatatype1_ijtag_basic_tap_tests_reset,PASS,PASS
parswinf2_ijtag_basic_tap_tests_rw_access,PASS,PASS
parswinf1_ijtag_basic_tap_tests_rw_access,PASS,PASS
parswinf0_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfmemch5_ijtag_basic_tap_tests_reset,PASS,PASS
parscftqio_ijtag_basic_tap_tests_reset,PASS,PASS
parscfmemch5_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscftqio_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfubrsca_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfubruioadaktype2_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfscatopllcsf1_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfubruiodatatype2_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfscatopllcsf1_ijtag_basic_tap_tests_reset,FAIL,Error between simulated and expected patterns
parscfubruioadaktype1_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfubruiodatatype1_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfmeminf2e_ijtag_basic_tap_tests_reset,PASS,PASS
